PROJECT	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA
PRD000437	2370	2366	4	109	NA
PRD000438	18076	18076	NA	NA	NA
PRD000439	1125771	1093062	32709	11289	384
PRD000441	16356	16264	92	434	1
PRD000443	10778	8662	2116	687	304
PRD000444	8733	8657	76	280	7
PRD000448	34374	33631	743	1396	79
PRD000449	83	83	NA	NA	NA
PRD000450	1187	1162	25	41	23
PRD000451	37166	36740	426	NA	14
PRD000453	695	694	1	5	NA
PRD000456	8653	8574	79	1	7
PRD000458	17730	8349	9381	2127	8027
PRD000459	116719	116479	240	9148	59
PRD000460	9276	9255	21	399	1
PRD000461	520	518	2	104	NA
PRD000462	2803	2792	11	390	NA
PRD000463	147373	146979	394	49082	177
PRD000464	65808	65408	400	1148	8
PRD000465	20840	20716	124	935	2
PRD000466	282	NA	282	NA	101
PRD000467	5123	4932	191	4819	177
PRD000468	106	105	1	7	NA
PRD000469	936	935	1	21	NA
PRD000470	870	861	9	155	NA
PRD000471	2476	2465	11	113	3
PRD000472	41	41	NA	NA	NA
PRD000473	424	420	4	10	NA
PRD000474	324065	320631	3434	41155	421
PRD000475	1267	1267	NA	NA	NA
PRD000476	163965	162761	1204	NA	3
PRD000477	2154	2145	9	1435	NA
PRD000478	130315	129373	942	34306	32
PRD000479	23	NA	23	NA	23
PRD000480	5	NA	5	NA	5
PRD000481	4897	4874	23	325	3
PRD000482	5120	5117	3	97	NA
PRD000483	171	168	3	12	NA
PRD000484	181450	181235	215	NA	4
PRD000485	71746	71356	390	13	1
PRD000486	232	225	7	81	3
PRD000487	511	497	14	NA	NA
PRD000488	42656	42490	166	83	NA
PRD000489	43679	43556	123	128	NA
PRD000491	15437	14990	447	3	4
PRD000492	7713	7447	266	309	10
PRD000493	24253	24102	151	NA	2
PRD000494	1871	1860	11	NA	NA
PRD000495	928	925	3	11	NA
PRD000496	132	132	NA	NA	NA
PRD000497	2628	2603	25	1	5
PRD000498	30825	30649	176	171	6
PRD000499	3911	3876	35	NA	2
PRD000500	4644	4600	44	NA	1
PRD000502	12563	12421	142	1	5
PRD000503	2132	2083	49	94	16
PRD000504	33422	33223	199	18035	119
PRD000505	286	278	8	NA	NA
PRD000506	4982	4932	50	3	NA
PRD000507	102681	101890	791	4471	169
PRD000508	1438	1392	46	NA	NA
PRD000509	10206	10161	45	NA	7
PRD000510	45	42	3	2	NA
PRD000511	138747	138231	516	37710	230
PRD000512	325	321	4	NA	NA
PRD000514	88746	88589	157	NA	1
PRD000517	14689	14661	28	25	NA
PRD000518	251381	250018	1363	4495	81
PRD000520	3846	3843	3	NA	NA
PRD000522	27665	27623	42	484	2
PRD000523	21	NA	21	NA	12
PRD000524	59	55	4	47	4
PRD000531	826	825	1	37	NA
PRD000532	3195	3193	2	427	NA
PRD000541	757	207	550	41	58
PRD000542	7837	7570	267	310	8
PRD000544	37234	35637	1597	10389	23
PRD000545	237840	235897	1943	NA	8
PRD000546	99149	99015	134	1168	16
PRD000551	115629	115604	25	23180	NA
PRD000554	5235	5225	10	87	NA
PRD000562	60364	60126	238	82	3
PRD000565	1563	1550	13	671	1
PRD000581	882	880	2	NA	NA
PRD000582	312	303	9	213	2
PRD000590	2288	2288	NA	NA	NA
PRD000591	79865	79747	118	4	14
PRD000592	5543	5194	349	138	80
PRD000593	6349	6328	21	NA	2
PRD000594	532628	527795	4833	29409	275
PRD000600	7206	7196	10	1360	5
PRD000605	542	500	42	36	5
PRD000607	687	679	8	105	1
PRD000608	101880	101544	336	12417	14
PRD000615	6033	6004	29	NA	NA
PRD000616	7842	7746	96	2079	35
PRD000619	6477	6449	28	NA	NA
PRD000623	6	6	NA	NA	NA
PRD000629	462	422	40	120	37
PRD000631	24247	24123	124	3923	1
PRD000634	166213	166031	182	NA	NA
PRD000635	120026	119930	96	NA	NA
PRD000636	5238	5150	88	92	4
PRD000644	2039	1881	158	941	80
PRD000647	12343	12325	18	673	NA
PRD000650	9203	9171	32	NA	1
PRD000651	220	220	NA	NA	NA
PRD000655	12392	12380	12	529	1
PRD000659	71358	59903	11455	2010	5377
PRD000664	5162	5159	3	NA	NA
PRD000665	313728	304928	8800	10023	1362
PRD000666	295629	294537	1092	12071	37
PRD000668	79284	78932	352	8225	60
PRD000676	31	31	NA	NA	NA
PRD000677	19	19	NA	NA	NA
PRD000680	4519	4500	19	721	7
PRD000681	13960	13948	12	300	NA
PRD000684	21837	21765	72	5596	25
PRD000693	89	89	NA	29	NA
PRD000695	161	160	1	NA	1
PRD000698	4219	4064	155	84	49
PRD000704	37712	37431	281	4029	30
PRD000711	781372	746485	34887	33347	1818
PRD000717	294	294	NA	2	NA
PRD000721	146726	144742	1984	23	1
PRD000722	6151	6116	35	65	16
PRD000726	74083	73562	521	4175	17
PRD000727	49	48	1	2	NA
PRD000729	290	286	4	NA	NA
PRD000730	75860	75547	313	5373	27
PRD000731	18986	18898	88	1024	16
PRD000732	7700	7600	100	493	3
PRD000733	35571	34527	1044	3951	106
PRD000736	2492	2384	108	NA	3
