PROJECT	ASSAY	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA
PXD001311	39706	293	NA	293	NA	13
PXD001311	39707	401	NA	401	NA	37
PXD001311	39708	846	NA	846	NA	79
PXD001311	39709	634	NA	634	NA	25
PXD001311	39710	220	NA	220	NA	13
PXD001311	39711	50	NA	50	NA	NA
PXD001311	39712	359	NA	359	NA	21
PXD001311	39713	433	NA	433	NA	17
PXD001311	39714	289	NA	289	NA	11
PXD001311	39715	155	NA	155	NA	6
PXD001311	39716	436	1	435	NA	19
PXD001311	39717	593	NA	593	NA	38
PXD001311	39718	409	NA	409	NA	35
PXD001311	39719	217	NA	217	NA	9
PXD001311	39720	189	NA	189	NA	5
PXD001311	39721	582	NA	582	NA	35
PXD001311	39722	865	NA	865	NA	97
PXD001311	39723	436	NA	436	NA	26
PXD001311	39724	626	NA	626	NA	37
PXD001311	39725	526	NA	526	NA	26
PXD001311	39726	403	2	401	NA	27
PXD001311	39727	303	NA	303	NA	25
PXD001311	39728	284	NA	284	NA	19
PXD001311	39729	340	NA	340	NA	16
PRD000644	21593	44	44	NA	6	NA
PRD000644	21594	16	15	1	7	1
PRD000644	21595	21	20	1	NA	NA
PRD000644	21596	63	60	3	13	1
PRD000644	21597	4	4	NA	NA	NA
PRD000644	21598	69	61	8	16	NA
PRD000644	21599	7	7	NA	1	NA
PRD000644	21600	36	34	2	7	NA
PRD000644	21601	4	3	1	NA	NA
PRD000644	21602	9	9	NA	1	NA
PRD000644	21603	22	22	NA	NA	NA
PRD000644	21604	25	24	1	NA	NA
PRD000644	21605	8	8	NA	NA	NA
PRD000644	21606	3	3	NA	1	NA
PRD000644	21607	82	75	7	27	5
PRD000644	21608	14	13	1	3	1
PRD000644	21609	16	16	NA	13	NA
PRD000644	21610	15	15	NA	NA	NA
PRD000644	21611	12	11	1	2	1
PRD000644	21612	9	9	NA	NA	NA
PRD000644	21613	5	5	NA	3	NA
PRD000644	21614	7	7	NA	5	NA
PRD000644	21615	18	15	3	7	1
PRD000644	21616	14	14	NA	4	NA
PRD000644	21617	15	15	NA	NA	NA
PRD000644	21618	16	13	3	10	3
PRD000644	21619	8	7	1	6	1
PRD000644	21620	5	4	1	1	1
PRD000644	21621	37	33	4	30	4
PRD000644	21622	28	25	3	19	3
PRD000644	21623	10	10	NA	9	NA
PRD000644	21624	13	13	NA	4	NA
PRD000644	21625	3	3	NA	2	NA
PRD000644	21626	13	12	1	8	1
PRD000644	21627	2	2	NA	NA	NA
PRD000644	21630	5	5	NA	4	NA
PRD000644	21631	7	6	1	5	1
PRD000644	21632	20	20	NA	17	NA
PRD000644	21634	8	8	NA	6	NA
PRD000644	21635	25	25	NA	8	NA
PRD000644	21636	3	3	NA	3	NA
PRD000644	21637	28	25	3	24	3
PRD000644	21638	4	4	NA	NA	NA
PRD000644	21639	19	16	3	11	1
PRD000644	21640	8	7	1	2	1
PRD000644	21641	7	7	NA	5	NA
PRD000644	21642	1	1	NA	NA	NA
PRD000644	21643	18	15	3	11	2
PRD000644	21644	2	2	NA	1	NA
PRD000644	21645	19	18	1	16	1
PRD000644	21646	24	23	1	19	1
PRD000644	21647	11	10	1	4	NA
PRD000644	21648	41	37	4	13	1
PRD000644	21649	32	32	NA	32	NA
PRD000644	21650	7	7	NA	6	NA
PRD000644	21651	2	2	NA	NA	NA
PRD000644	21652	4	4	NA	4	NA
PRD000644	21653	33	33	NA	5	NA
PRD000644	21654	12	11	1	10	NA
PRD000644	21655	5	3	2	1	1
PRD000644	21656	5	4	1	NA	NA
PRD000644	21657	3	3	NA	2	NA
PRD000644	21658	8	8	NA	5	NA
PRD000644	21659	7	7	NA	7	NA
PRD000644	21660	17	15	2	13	2
PRD000644	21662	26	23	3	23	3
PRD000644	21663	7	7	NA	2	NA
PRD000644	21664	21	21	NA	9	NA
PRD000644	21665	1	1	NA	NA	NA
PRD000644	21666	4	4	NA	3	NA
PRD000644	21669	3	3	NA	NA	NA
PRD000644	21671	26	23	3	19	3
PRD000644	21672	29	27	2	22	2
PRD000644	21673	2	2	NA	1	NA
PRD000644	21674	7	7	NA	7	NA
PRD000644	21675	8	6	2	6	2
PRD000644	21676	26	25	1	14	1
PRD000644	21678	5	5	NA	3	NA
PRD000644	21679	17	15	2	13	2
PRD000644	21680	11	10	1	8	1
PRD000644	21681	2	2	NA	1	NA
PRD000644	21682	8	8	NA	4	NA
PRD000644	21683	1	1	NA	NA	NA
PRD000644	21684	48	41	7	36	5
PRD000644	21685	14	14	NA	10	NA
PRD000644	21686	21	19	2	17	2
PRD000644	21687	4	4	NA	4	NA
PRD000644	21688	4	4	NA	3	NA
PRD000644	21689	8	7	1	2	1
PRD000644	21690	22	22	NA	8	NA
PRD000644	21691	12	12	NA	12	NA
PRD000644	21692	1	1	NA	1	NA
PRD000644	21693	3	3	NA	3	NA
PRD000644	21694	11	10	1	8	1
PRD000644	21695	10	10	NA	NA	NA
PRD000644	21696	31	29	2	22	1
PRD000644	21697	6	6	NA	3	NA
PRD000644	21699	5	5	NA	2	NA
PRD000644	21700	21	20	1	18	1
PRD000644	21701	4	4	NA	NA	NA
PRD000644	21702	87	58	29	9	1
PRD000644	21703	11	11	NA	8	NA
PRD000644	21704	4	4	NA	1	NA
PRD000644	21705	27	25	2	NA	NA
PRD000644	21706	1	1	NA	NA	NA
PRD000644	21707	6	5	1	3	NA
PRD000644	21708	17	17	NA	7	NA
PRD000644	21709	5	5	NA	3	NA
PRD000644	21710	17	16	1	1	1
PRD000644	21711	4	4	NA	1	NA
PRD000644	21712	15	13	2	3	NA
PRD000644	21713	4	4	NA	NA	NA
PRD000644	21714	1	1	NA	NA	NA
PRD000644	21715	21	19	2	8	2
PRD000644	21716	27	25	2	24	2
PRD000644	21719	3	3	NA	2	NA
PRD000644	21720	14	14	NA	9	NA
PRD000644	21721	1	1	NA	NA	NA
PRD000644	21722	10	6	4	NA	NA
PRD000644	21725	5	5	NA	NA	NA
PRD000644	21726	9	8	1	7	1
PRD000644	21727	13	13	NA	8	NA
PRD000644	21728	4	4	NA	NA	NA
PRD000644	21729	12	11	1	1	NA
PRD000644	21730	19	19	NA	13	NA
PRD000644	21731	16	15	1	NA	NA
PRD000644	21732	5	4	1	NA	NA
PRD000644	21733	20	20	NA	17	NA
PRD000644	21734	3	3	NA	2	NA
PRD000644	21735	3	3	NA	1	NA
PRD000644	21736	6	6	NA	1	NA
PRD000644	21737	53	47	6	NA	NA
PRD000644	21738	2	2	NA	1	NA
PRD000644	21739	36	31	5	31	5
PRD000644	21740	31	27	4	26	4
PRD000644	21741	5	5	NA	5	NA
PRD000644	21742	6	6	NA	6	NA
PRD000644	21743	10	10	NA	8	NA
PRD000644	21744	15	13	2	12	2
PRD000644	21745	4	4	NA	NA	NA
PRD000192	11343	1041	1040	1	NA	NA
PRD000192	11344	1016	1016	NA	NA	NA
PRD000192	11345	1161	1160	1	NA	NA
PRD000192	11346	616	616	NA	NA	NA
PRD000192	11354	1050	1048	2	NA	NA
PRD000192	11355	1199	1199	NA	NA	NA
PRD000192	11356	1236	1236	NA	NA	NA
PRD000192	11358	892	892	NA	NA	NA
PRD000141	9886	15014	14977	37	2926	1
PRD000141	9887	13494	13444	50	2179	1
PRD000141	9888	2642	2629	13	26	NA
PRD000141	9889	2934	2910	24	19	NA
PRD000141	9890	2760	2744	16	NA	NA
PRD000141	9891	2528	2516	12	1	NA
PRD000141	9892	3113	3090	23	47	NA
PRD000141	9893	2208	2203	5	10	NA
PRD000441	17661	2016	1989	27	54	NA
PRD000441	17684	14340	14275	65	380	1
PRD000108	9291	142	69	73	35	37
PRD000108	9292	8	3	5	3	5
PRD000108	9293	1	NA	1	NA	1
PRD000108	9294	2	1	1	1	1
PRD000108	9296	56	26	30	11	15
PRD000108	9297	255	125	130	31	37
PRD000108	9298	194	99	95	12	12
PRD000108	9299	887	425	462	42	48
PRD000108	9300	680	306	374	50	58
PRD000108	9301	125	59	66	12	11
PRD000108	9302	82	41	41	16	16
PRD000108	9303	391	192	199	59	61
PRD000108	9304	164	81	83	54	57
PRD000108	9305	410	203	207	165	174
PRD000108	9306	600	298	302	284	290
PRD000108	9307	703	350	353	335	333
PRD000108	9308	599	301	298	265	271
PRD000108	9309	468	234	234	187	191
PRD000108	9310	344	168	176	101	107
PRD000108	9311	243	121	122	55	60
PRD000108	9312	340	148	192	55	66
PRD000108	9313	103	46	57	22	24
PRD000108	9314	43	22	21	20	19
PRD000108	9315	8	4	4	4	4
PRD000108	9316	8	4	4	4	4
PRD000108	9317	7	4	3	4	3
PRD000108	9318	6	3	3	3	3
PRD000108	9319	26	13	13	13	13
PRD000108	9322	14	7	7	7	7
PRD000108	9323	38	15	23	14	22
PRD000108	9324	1	NA	1	NA	1
PRD000108	9325	6	2	4	2	4
PRD000108	9327	77	34	43	6	7
PRD000108	9328	238	106	132	15	17
PRD000108	9329	369	181	188	14	14
PRD000108	9330	540	259	281	17	23
PRD000108	9331	735	339	396	42	50
PRD000108	9332	300	130	170	21	29
PRD000108	9333	414	147	267	32	52
PRD000108	9334	498	235	263	96	105
PRD000108	9335	293	138	155	68	74
PRD000108	9336	355	171	184	127	138
PRD000108	9337	653	326	327	291	294
PRD000108	9338	750	378	372	347	347
PRD000108	9339	686	346	340	289	291
PRD000108	9340	554	273	281	177	188
PRD000108	9341	470	232	238	113	119
PRD000108	9342	386	190	196	69	73
PRD000108	9343	261	126	135	45	48
PRD000108	9344	321	149	172	45	49
PRD000108	9345	26	13	13	13	13
PRD000108	9346	36	17	19	17	19
PRD000108	9347	20	10	10	10	10
PRD000108	9348	16	8	8	8	8
PRD000108	9349	12	6	6	6	6
PRD000108	9350	22	9	13	9	13
PRD000108	9351	2	1	1	1	1
PRD000108	9352	6	1	5	NA	4
PRD000108	9353	46	23	23	16	16
PRD000108	9751	199	78	121	33	49
PRD000524	18476	59	55	4	47	4
PXD001167	38922	153	141	12	NA	NA
PXD001167	38923	116	112	4	NA	NA
PXD001167	38924	189	177	12	NA	NA
PXD001167	38925	145	131	14	NA	NA
PXD001167	38926	102	98	4	NA	NA
PXD001167	38927	108	105	3	NA	NA
PXD001167	38928	118	113	5	NA	NA
PXD001167	38929	104	99	5	NA	NA
PXD001167	38930	165	151	14	NA	NA
PXD001167	38931	167	152	15	NA	NA
PXD001167	38932	160	147	13	NA	NA
PXD001167	38933	145	133	12	NA	NA
PXD001167	38934	130	124	6	NA	NA
PXD001167	38935	169	150	19	NA	1
PXD001167	38936	162	151	11	NA	NA
PXD001167	38937	158	144	14	NA	NA
PXD001167	38938	161	145	16	NA	NA
PXD001167	38939	161	146	15	NA	NA
PXD001167	38940	166	154	12	NA	NA
PXD001167	38941	139	128	11	NA	NA
PXD001167	38942	190	180	10	NA	NA
PXD001167	38943	205	187	18	NA	NA
PXD001167	38944	153	137	16	NA	NA
PXD001167	38945	156	142	14	NA	NA
PXD001167	38946	162	150	12	NA	NA
PXD001167	38947	146	133	13	NA	NA
PXD001167	38948	146	133	13	NA	NA
PXD001167	38949	143	137	6	NA	NA
PXD001167	38950	546	510	36	NA	1
PXD001167	38951	498	475	23	NA	NA
PXD001167	38952	482	448	34	NA	1
PXD001167	38953	549	519	30	NA	NA
PXD001167	38954	543	507	36	NA	NA
PXD001167	38955	477	448	29	NA	NA
PXD001167	38956	523	493	30	NA	NA
PXD001167	38957	485	449	36	NA	NA
PXD001167	38958	460	440	20	NA	NA
PXD001167	38959	489	448	41	NA	1
PXD001167	38960	462	425	37	NA	1
PXD001167	38961	505	464	41	NA	NA
PXD001167	38962	489	466	23	NA	NA
PXD001167	38963	470	440	30	NA	1
PXD001167	38964	415	391	24	NA	NA
PXD001167	38965	377	352	25	NA	1
PXD001167	38966	491	459	32	NA	NA
PXD001167	38967	420	398	22	NA	1
PXD001167	38968	470	429	41	NA	NA
PXD001167	38969	376	355	21	NA	NA
PXD001167	38970	506	480	26	2	NA
PXD001167	38971	521	484	37	NA	NA
PXD001167	38972	496	458	38	NA	NA
PXD001167	38973	489	458	31	NA	NA
PXD001167	38974	458	447	11	2	2
PXD001167	38975	429	403	26	NA	NA
PXD001167	38976	456	427	29	NA	NA
PXD001167	38977	471	465	6	NA	1
PXD001167	38978	608	576	32	NA	NA
PXD001167	38979	490	479	11	NA	1
PXD001167	38980	659	619	40	NA	NA
PXD001167	38981	468	459	9	NA	3
PXD001167	38982	609	580	29	NA	NA
PXD001167	38983	652	605	47	NA	NA
PXD001167	38984	173	158	15	NA	NA
PXD001167	38985	447	415	32	NA	NA
PXD001167	38986	441	412	29	NA	NA
PXD001167	38987	459	420	39	NA	1
PXD001167	38988	528	521	7	NA	1
PXD001167	38989	555	539	16	NA	NA
PXD001167	38990	183	165	18	NA	NA
PXD001167	38991	191	172	19	NA	NA
PXD001167	38992	196	179	17	NA	NA
PXD001167	38993	197	180	17	NA	NA
PXD001167	38994	171	160	11	NA	NA
PXD001167	38995	164	153	11	NA	NA
PXD001167	38996	154	139	15	NA	NA
PXD001167	38997	146	134	12	NA	NA
PXD001167	38998	157	143	14	NA	1
PXD001167	38999	155	142	13	NA	NA
PXD001167	39000	169	153	16	NA	2
PXD001167	39001	185	169	16	NA	NA
PXD001167	39002	164	150	14	NA	NA
PXD001167	39003	170	159	11	NA	NA
PXD001167	39004	193	179	14	NA	NA
PXD001167	39005	129	116	13	NA	NA
PXD001167	39006	177	158	19	NA	1
PXD001167	39007	161	152	9	NA	NA
PXD001167	39008	158	149	9	NA	NA
PXD001167	39009	161	148	13	NA	NA
PXD001167	39010	145	133	12	NA	NA
PXD001167	39011	152	143	9	NA	NA
PXD001167	39012	147	135	12	NA	NA
PXD001167	39013	104	103	1	NA	NA
PXD001167	39014	177	160	17	NA	NA
PXD001167	39015	168	155	13	NA	NA
PXD001167	39016	137	128	9	NA	NA
PXD001167	39017	150	139	11	NA	NA
PXD001167	39018	183	162	21	NA	NA
PXD001167	39019	137	119	18	NA	NA
PXD001167	39020	168	153	15	NA	NA
PXD001349	40160	28906	28158	748	40	13
PXD001349	40161	13281	13129	152	619	NA
PXD001349	40162	8234	8142	92	222	2
PXD001349	40163	9345	9249	96	320	1
PXD001349	40164	8446	8345	101	338	2
PXD001349	40165	31236	30326	910	67	19
PXD001349	40166	15528	15355	173	390	NA
PXD001349	40167	14913	14757	156	330	NA
PXD001349	40168	16447	16254	193	596	3
PXD001349	40169	30839	29913	926	69	31
PXD001349	40170	29128	28311	817	42	19
PXD001349	40171	30181	29328	853	53	26
PXD001349	40172	15617	15445	172	353	3
PXD001349	40173	16085	15915	170	680	1
PXD001349	40174	28129	27304	825	57	16
PXD000781	37123	3203	2336	867	253	67
PXD000781	37124	2674	2224	450	114	117
PXD000781	37125	802	792	10	18	NA
PXD000781	37126	1775	1402	373	36	41
PXD000781	37127	1940	1583	357	237	67
PXD000781	37128	27	25	2	1	2
PXD000781	37129	29	29	NA	4	NA
PXD000509	31445	100	100	NA	NA	NA
PRD000565	19284	189	188	1	73	NA
PRD000565	19285	202	200	2	89	NA
PRD000565	19286	199	197	2	77	NA
PRD000565	19287	152	150	2	62	1
PRD000565	19288	158	157	1	68	NA
PRD000565	19289	213	211	2	98	NA
PRD000565	19290	152	151	1	84	NA
PRD000565	19291	113	112	1	54	NA
PRD000565	19292	185	184	1	66	NA
PRD000470	17931	870	861	9	155	NA
PRD000437	17339	2370	2366	4	109	NA
PRD000308	13754	1468	1468	NA	NA	NA
PRD000308	13755	2399	2399	NA	NA	NA
PRD000308	13756	2690	2690	NA	NA	NA
PRD000308	13757	2561	2561	NA	NA	NA
PRD000308	13758	1268	1268	NA	NA	NA
PRD000308	13759	2352	2351	1	NA	NA
PRD000308	13760	2741	2741	NA	NA	NA
PRD000308	13761	3022	3022	NA	NA	NA
PXD000500	31368	3	3	NA	1	NA
PXD000500	31369	3	3	NA	1	NA
PXD000500	31370	3	3	NA	1	NA
PXD000500	31371	1	1	NA	1	NA
PXD000500	31372	1	1	NA	1	NA
PXD000500	31373	1	1	NA	1	NA
PXD000500	31377	5	5	NA	NA	NA
PXD000500	31378	1	1	NA	1	NA
PXD000500	31379	6	5	1	1	NA
PXD000500	31380	1	1	NA	NA	NA
PXD000500	31381	1	1	NA	1	NA
PXD000500	31382	2	2	NA	NA	NA
PXD000500	31383	1	1	NA	1	NA
PXD000500	31385	1	1	NA	NA	NA
PXD000500	31387	3	3	NA	NA	NA
PXD000500	31389	2	2	NA	1	NA
PXD000500	31390	9	9	NA	1	NA
PXD000500	31391	7	7	NA	1	NA
PXD000500	31392	1	1	NA	1	NA
PXD000500	31393	4	4	NA	1	NA
PXD000500	31394	5	5	NA	1	NA
PXD000500	31395	3	3	NA	1	NA
PXD000500	31396	3	3	NA	1	NA
PXD000500	31397	5	4	1	1	NA
PXD000500	31398	1	1	NA	1	NA
PXD000500	31400	5	5	NA	1	NA
PXD000500	31401	3	3	NA	NA	NA
PXD000500	31402	3	3	NA	1	NA
PXD000500	31403	2	2	NA	1	NA
PXD000500	31404	3	3	NA	1	NA
PXD000500	31405	5	5	NA	1	NA
PXD000500	31406	3	3	NA	1	NA
PXD000500	31407	2	2	NA	1	NA
PXD000500	31408	1	1	NA	1	NA
PXD000500	31410	4	4	NA	1	NA
PXD000500	31411	1	1	NA	1	NA
PXD000500	31412	4	4	NA	2	NA
PXD000500	31413	1	1	NA	1	NA
PXD000500	31414	1	1	NA	1	NA
PXD000500	31415	4	3	1	1	NA
PXD000500	31416	2	2	NA	1	NA
PXD000500	31418	3	3	NA	1	NA
PXD000500	31419	3	3	NA	NA	NA
PXD000500	31420	4	4	NA	2	NA
PXD000500	31421	5	5	NA	NA	NA
PXD000500	31422	1	1	NA	NA	NA
PXD000461	31251	5176	4861	315	216	31
PXD000461	31252	5434	5129	305	139	20
PXD000461	31253	6826	6398	428	189	16
PXD000461	31254	7882	7449	433	163	12
PXD000461	31255	7563	6979	584	182	10
PXD000461	31256	6639	6264	375	160	7
PXD000222	29463	37371	36385	986	668	78
PXD000222	29464	50791	49341	1450	910	62
PXD000222	29465	48481	47119	1362	752	65
PXD000222	29466	62156	60419	1737	1020	72
PXD000222	29467	53749	52268	1481	1203	108
PXD000834	35582	10598	10573	25	135	NA
PRD000232	12189	48161	47997	164	908	5
PRD000232	12190	43123	42989	134	778	1
PRD000232	12191	46024	45880	144	704	1
PRD000232	12192	44911	44783	128	834	1
PRD000232	12193	42819	42682	137	687	NA
PRD000232	12194	47528	47372	156	762	3
PRD000232	12195	44120	43940	180	1521	12
PRD000232	12196	46057	45841	216	1358	6
PRD000232	12197	47333	47176	157	1199	4
PRD000232	12198	43868	43727	141	1194	1
PRD000232	12199	45226	45066	160	1303	NA
PXD000094	27999	6501	6439	62	NA	2
PXD000094	28000	7009	6946	63	NA	5
PXD000094	28001	5609	5540	69	NA	10
PXD000094	28002	6891	6835	56	NA	2
PXD000094	28003	7208	7139	69	NA	2
PXD000094	28004	7906	7834	72	NA	1
PXD000094	28005	6867	6797	70	NA	3
PXD000094	28006	6698	6655	43	NA	1
PXD000094	28007	7302	7250	52	NA	NA
PRD000334	15312	2143	2101	42	1	19
PRD000334	15313	1809	1772	37	5	14
PXD001091	37874	5315	5294	21	NA	3
PXD001091	37875	5089	5064	25	NA	1
PXD001091	37876	5169	5142	27	NA	1
PXD001091	37877	5317	5298	19	NA	NA
PXD001091	37878	4741	4728	13	NA	1
PXD001091	37879	5253	5229	24	NA	NA
PXD001091	37880	5281	5262	19	NA	1
PXD001091	37881	4903	4891	12	NA	1
PXD001091	37882	5207	5192	15	NA	2
PXD001091	37883	5343	5317	26	NA	2
PXD001091	37884	5161	5134	27	NA	2
PXD001091	37885	5092	5065	27	NA	1
PXD001091	37886	5153	5127	26	NA	1
PXD001091	37887	4851	4827	24	NA	1
PXD001091	37888	5377	5353	24	NA	2
PXD001091	37889	4939	4916	23	NA	1
PXD001091	37890	4449	4427	22	20	1
PXD001091	37891	4212	4194	18	28	1
PXD001091	37892	3584	3567	17	26	1
PXD001091	37893	3170	3162	8	28	1
PXD001091	37894	2867	2856	11	30	NA
PXD001091	37895	4298	4274	24	NA	1
PXD001091	37896	4268	4251	17	NA	NA
PXD001091	37897	4863	4838	25	17	1
PXD001091	37898	4268	4249	19	NA	1
PXD001091	37899	4830	4812	18	18	1
PXD001091	37900	5223	5208	15	1	2
PXD001091	37901	5151	5128	23	NA	2
PXD001091	37902	5291	5271	20	1	1
PXD001091	37903	4534	4511	23	NA	1
PXD001091	37904	4955	4935	20	NA	2
PXD001091	37905	5097	5071	26	NA	2
PXD001091	37906	5188	5167	21	NA	1
PXD001091	37907	4516	4500	16	NA	NA
PXD001091	37908	4987	4971	16	NA	NA
PXD001091	37909	5252	5231	21	NA	1
PXD001091	37910	3622	3609	13	NA	1
PXD001091	37911	4571	4546	25	9	1
PXD001091	37912	4688	4668	20	14	NA
PXD001091	37913	4805	4791	14	12	2
PXD001091	37914	4789	4770	19	6	1
PXD001091	37915	4902	4884	18	7	2
PXD001091	37916	5128	5110	18	8	1
PXD001091	37917	4946	4918	28	NA	2
PXD001091	37918	4938	4925	13	13	2
PXD001091	37919	4890	4859	31	9	NA
PXD001091	37920	4866	4846	20	NA	1
PXD001091	37921	5099	5078	21	NA	2
PXD001091	37922	5083	5061	22	NA	2
PXD001091	37923	5181	5159	22	NA	NA
PXD001091	37924	5180	5163	17	NA	NA
PXD001091	37925	3929	3912	17	28	1
PXD001091	37926	4042	4029	13	24	1
PXD001091	37927	2934	2932	2	32	NA
PXD001091	37928	3011	3004	7	28	1
PXD001091	37929	3618	3608	10	19	2
PXD001091	37930	4772	4755	17	NA	1
PXD001474	41504	13591	13113	478	604	13
PXD001474	41505	13777	13305	472	615	13
PXD001474	41506	13659	13219	440	747	19
PXD001474	41507	12997	12561	436	711	15
PXD001474	41508	12487	12066	421	599	14
PXD001474	41509	14053	13594	459	599	10
PXD001474	41510	13885	13443	442	682	8
PXD001474	41511	12360	11967	393	807	15
PXD001474	41512	13944	13543	401	657	6
PXD001474	41513	13350	12928	422	628	12
PXD001474	41514	13739	13289	450	621	16
PXD001474	41515	13904	13467	437	582	8
PXD001474	41516	14318	13878	440	575	14
PXD001474	41517	14031	13580	451	621	7
PXD001474	41518	14453	13996	457	542	13
PXD001474	41519	14198	13765	433	615	13
PXD001474	41520	14492	14030	462	662	13
PXD001474	41521	12652	12199	453	905	22
PXD001474	41522	13312	12877	435	685	7
PXD001474	41523	13195	12753	442	704	13
PXD001474	41524	13660	13177	483	514	14
PXD001474	41525	14136	13681	455	598	17
PXD001474	41526	14176	13694	482	556	15
PXD001474	41527	12466	12062	404	717	14
PXD001474	41528	13166	12703	463	615	12
PXD001474	41529	13186	12736	450	639	11
PXD001474	41530	13625	13199	426	695	8
PXD000472	31307	745	736	9	NA	NA
PXD000472	31308	774	772	2	1	NA
PXD000472	31309	792	787	5	1	NA
PXD000472	31310	1730	1710	20	NA	NA
PXD000472	31311	837	834	3	2	NA
PXD000472	31312	786	781	5	1	NA
PXD000472	31313	958	946	12	1	NA
PXD000472	31314	941	929	12	NA	NA
PXD000472	31315	817	808	9	1	NA
PXD000472	31316	814	805	9	1	NA
PXD000472	31317	958	948	10	3	NA
PXD000472	31318	876	868	8	1	NA
PXD000016	27102	1914	1886	28	1	2
PXD000016	27103	922	911	11	NA	2
PXD000016	27104	1515	1486	29	2	1
PXD000016	27105	1344	1316	28	1	5
PXD000016	27106	1613	1183	430	NA	5
PXD000016	27107	1372	1342	30	2	10
PXD000016	27108	790	767	23	1	10
PXD000016	27109	329	285	44	NA	21
PXD000016	27110	725	697	28	1	13
PXD000016	27111	1051	1000	51	1	23
PXD000016	27112	1722	1679	43	1	13
PXD000016	27113	1013	965	48	NA	17
PXD000016	27114	552	428	124	6	4
PXD000016	27115	555	528	27	NA	11
PXD000016	27116	1407	1057	350	1	4
PXD000016	27117	1168	1109	59	1	17
PXD000016	27118	1117	247	870	NA	2
PXD000016	27119	1146	1115	31	1	9
PXD000016	27120	610	568	42	NA	2
PXD000016	27121	593	476	117	NA	11
PXD000016	27122	1090	1070	20	NA	6
PXD000016	27123	969	876	93	NA	69
PXD000016	27124	955	918	37	NA	22
PXD000016	27125	509	418	91	NA	17
PXD000276	29627	75406	74129	1277	635	14
PXD001020	37194	267	256	11	5	1
PXD001020	37195	359	343	16	13	3
PXD001020	37196	485	467	18	19	3
PXD001020	37197	369	341	28	8	3
PXD001020	37198	542	514	28	18	4
PXD001020	37199	507	492	15	11	2
PXD001020	37200	345	337	8	7	NA
PXD001020	37201	483	472	11	10	NA
PXD001020	37202	763	725	38	15	4
PXD001020	37203	730	708	22	7	2
PXD001020	37204	801	768	33	2	2
PXD001020	37205	673	646	27	7	1
PXD001020	37206	688	665	23	8	2
PXD001020	37207	678	658	20	8	NA
PXD001020	37208	573	562	11	3	NA
PXD001020	37209	742	717	25	10	1
PXD001020	37210	652	621	31	22	4
PXD001020	37211	733	711	22	14	NA
PXD001020	37212	772	732	40	19	5
PXD001020	37213	393	384	9	7	NA
PXD001020	37214	345	333	12	NA	NA
PXD001020	37215	304	292	12	4	NA
PXD001020	37216	662	645	17	2	NA
PXD001020	37217	12	12	NA	3	NA
PXD001020	37218	27	27	NA	5	NA
PXD001020	37219	96	88	8	12	1
PXD001020	37220	245	239	6	8	NA
PXD001020	37221	219	212	7	19	NA
PXD001020	37222	278	272	6	8	1
PXD001020	37223	327	314	13	6	NA
PXD001020	37224	165	158	7	3	NA
PXD001020	37225	334	316	18	5	NA
PXD001020	37226	380	366	14	5	2
PXD001020	37227	366	356	10	4	NA
PXD001020	37228	441	427	14	5	NA
PXD001020	37229	379	370	9	NA	NA
PXD001020	37230	81	75	6	2	NA
PXD001020	37231	91	82	9	2	NA
PXD001020	37232	130	112	18	2	NA
PXD001020	37233	92	89	3	1	NA
PXD001020	37234	79	77	2	1	NA
PXD001020	37235	205	202	3	4	NA
PXD001020	37236	190	182	8	3	1
PXD001020	37237	212	206	6	5	NA
PXD001020	37238	233	225	8	4	NA
PXD001020	37239	237	230	7	NA	NA
PXD001020	37240	560	536	24	23	1
PXD001020	37241	597	554	43	12	3
PXD001020	37242	654	608	46	19	4
PXD001020	37243	585	563	22	8	2
PXD001020	37244	657	634	23	5	NA
PXD001020	37245	484	455	29	8	NA
PXD001020	37246	828	787	41	16	1
PXD001020	37247	473	459	14	1	NA
PXD001020	37248	58	57	1	4	1
PXD001020	37249	54	54	NA	4	NA
PXD001020	37250	390	365	25	13	NA
PXD001020	37251	339	310	29	7	1
PXD001020	37252	304	291	13	NA	NA
PXD001020	37253	262	245	17	1	NA
PXD001020	37254	401	387	14	9	NA
PXD001020	37255	380	363	17	25	NA
PXD001020	37256	381	359	22	10	NA
PXD001020	37257	497	479	18	23	8
PXD001020	37258	508	480	28	16	NA
PXD001020	37259	530	520	10	11	NA
PXD001020	37260	300	290	10	4	NA
PXD001020	37261	411	397	14	16	1
PXD001020	37262	194	182	12	17	1
PXD001020	37263	435	410	25	11	4
PXD001020	37264	268	250	18	6	2
PXD001020	37265	183	174	9	13	NA
PXD001020	37266	304	294	10	10	NA
PXD001020	37267	319	307	12	5	1
PXD001020	37268	317	292	25	16	2
PXD001020	37269	304	257	47	4	NA
PXD001020	37270	783	750	33	11	4
PXD001020	37271	897	849	48	32	3
PXD001020	37272	694	673	21	2	NA
PXD001020	37273	527	505	22	9	NA
PXD001020	37274	675	649	26	12	3
PXD001020	37275	683	648	35	17	1
PXD001020	37276	683	667	16	12	4
PXD001020	37277	641	619	22	4	NA
PXD001020	37278	609	575	34	8	2
PXD001020	37279	240	222	18	12	1
PXD001020	37280	590	575	15	5	2
